Date,Open,High,Low,Close
10/12/2009,209.87,218.5,206.68,217.27
10/13/2009,218.3,218.3,218.3,218.3
10/14/2009,218.53,228.6,217.5,227.24
10/15/2009,229.89,233.99,227.5,232.87
10/16/2009,233.4,247.4,231,244.63
10/20/2009,246,249.9,244.66,247.09
10/21/2009,247,247,238,238.61
10/22/2009,237.27,238.47,231.51,232.48
10/23/2009,230.26,237.97,227.26,235.46
10/26/2009,236.5,237.39,229.5,230.55
10/27/2009,229.5,233.9,218.49,220.27
10/28/2009,221.87,223.25,211.66,221.29
10/29/2009,216.26,222.34,216.26,219.63
10/30/2009,221.5,229.9,218.05,219.1
11/3/2009,218.7,218.7,209,210.3
11/4/2009,213,218.5,205.74,217.13
11/5/2009,217.77,217.77,208.43,213.93
11/6/2009,216,222.6,215.5,220.5
11/9/2009,221.5,232.5,221,231.82
11/10/2009,233.8,238.19,232.5,236.89
11/11/2009,236.5,238.45,233,237.82
11/12/2009,237,237.82,227.6,229.37
11/13/2009,227.6,233.3,226.26,229.99
11/16/2009,227.26,237.26,227.26,234.55
11/17/2009,235.98,236,229.66,235.07
11/18/2009,234.76,235.9,231.5,232.78
11/19/2009,232.9,232.91,227.01,228.13
11/20/2009,228.1,234.6,224.1,233.49
11/23/2009,234.7,234.7,230.59,232
11/24/2009,232,235,229.8,230.55
11/25/2009,230.4,234.4,230.03,232.21
11/26/2009,232.94,232.94,224.55,225.46
11/27/2009,222.16,226.9,214.3,224.29
11/30/2009,228,229.22,221.85,223.96
12/1/2009,224.6,229.8,224.31,229.16
12/2/2009,230.98,235.17,230.16,230.9
12/3/2009,232.9,236.43,230.5,235.46
12/4/2009,233,237.5,232.12,232.8
12/7/2009,233.5,234.98,230.63,232.18
12/8/2009,231.46,232.96,227.88,230.73
12/9/2009,229.77,231.9,227.6,229.39
12/10/2009,229,231.2,227.1,229.7
12/11/2009,231,232.5,226,226.65
12/14/2009,226.7,228.49,224.07,224.69
12/15/2009,226,226,217.5,218.05
12/16/2009,216.95,219,214.6,215.26
12/17/2009,215.12,217.85,212.52,216.62
12/18/2009,215.21,218.1,213.1,214.54
12/21/2009,214.9,216.69,213.51,214.57
12/22/2009,215.5,217.55,215.5,216.6
12/23/2009,217.1,221.5,217.1,221
12/24/2009,223.5,223.5,220.13,221.9
12/29/2009,222.51,223.75,220.79,222.01
12/30/2009,222.2,223.79,221.23,222.43
12/31/2009,223.5,228.37,222.9,226.9
1/4/2010,227.5,230,227.5,229.12
1/5/2010,230.8,231,228.01,229.21
1/6/2010,229.7,231.5,228.5,230.58
1/7/2010,230.6,231,228.11,229.29
1/8/2010,229.4,230.39,228.01,228.6
1/11/2010,229.7,231.27,226.32,226.72
1/12/2010,226.7,227,219.62,220.32
1/13/2010,219.5,219.5,215.81,217.59
1/14/2010,218.8,219.9,214.55,215.74
1/15/2010,216.8,217.84,213.68,214.34
1/18/2010,217.5,218.3,214.28,215.64
1/19/2010,216.98,218.7,215.7,217.31
1/20/2010,218.4,218.66,215.26,215.99
1/21/2010,215.9,216.13,211.23,212.41
1/22/2010,210.01,210.65,205.3,208.74
1/25/2010,205.55,213.7,205.55,209.16
1/27/2010,206,206.84,197.11,198.76
1/28/2010,210,210,199.1,200.32
1/29/2010,199,206.74,195.51,205.66
2/1/2010,214.8,214.8,201.55,202.13
2/2/2010,203.02,204.52,197.41,197.84
2/3/2010,198.63,201.59,198.35,199.88
2/4/2010,199.6,199.67,194,194.79
2/5/2010,193,193,186.31,189.78
2/6/2010, NA , NA , NA , NA 
2/8/2010,190,194.78,188.37,193.65
2/9/2010,193.1,195.8,192.5,195.03
2/10/2010,197,197,189.5,191.18
2/11/2010,192.39,194,191.1,191.76
2/15/2010,192.5,192.5,188.63,189.5
2/16/2010,191.4,192.5,189.5,192.06
2/17/2010,193.5,196.25,192.73,195.68
2/18/2010,195.79,196,192.73,194.24
2/19/2010,192.5,193.4,189.01,190.53
2/22/2010,192,193.5,191.01,191.63
2/23/2010,191.49,193.45,190.66,191.19
2/24/2010,190.6,193,190,192.13
2/25/2010,192.5,193,190.34,191.37
2/26/2010,192.5,203.2,191.5,197.43
3/2/2010,199.05,201.1,197.42,198.66
3/3/2010,198.91,202.59,198.91,202.24
3/4/2010,202.3,204.47,201.2,203.27
3/5/2010,204.5,205.9,202.11,204.72
3/8/2010,206,211.25,203.31,206.6
3/9/2010,203.26,207.8,203.26,204.46
3/10/2010,205.02,205.02,202.64,203.73
3/11/2010,204,205.28,201.83,204.57
3/12/2010,204.2,206.26,203.87,204.79
3/15/2010,203.95,204.48,201.11,201.51
3/16/2010,201.71,202.5,199.76,201.59
3/17/2010,202.01,204.2,201.57,202.73
3/18/2010,203,205.05,201.05,202.96
